3.09,2.73
2.72,2.77
2.96,2.97
3.08,2.95
2.75,2.75
2.87,2.81
2.81,2.76
2.74,2.91
2.83,3.08
2.78,2.74
2.96,3.01
2.89,2.95
2.94,3.02
2.96,3.05
2.73,2.94
2.91,2.78
2.87,2.77
3.03,2.89
2.83,3.08
2.96,2.97
2.74,2.92
2.98,3.04
3.02,3.01
3.09,2.76
3.13,2.79
3.09,3.04
3.05,2.91
2.91,2.96
3.11,2.75
3.03,2.86
3,2.81
3.11,2.93
2.9,2.9
2.92,2.83
2.76,2.81
2.72,2.72
2.86,3.04
3.02,2.97
3.12,3.03
2.77,3.07
2.87,3.02
3.09,2.98
2.76,2.84
3.01,2.97
3.02,3
2.84,2.97
3.11,2.81
2.96,2.81
2.72,3.07
3.13,2.78
3.08,3.07
2.73,2.81
2.97,3.02
2.92,2.73
2.79,3.11
3.05,2.87
3.02,3.1
3.12,2.96
2.85,2.85
2.85,2.83
3.09,3.08
2.82,3.04
2.76,2.73
2.92,2.93
2.94,2.97
3.14,2.88
2.84,2.82
2.91,3.03
2.78,2.85
3.04,2.96
2.71,3.05
2.96,2.84
2.79,2.81
3.1,2.81
3,3.04
3.11,2.72
3.14,3.13
3.09,2.8
2.79,2.8
3.03,2.93
3.03,2.94
2.77,2.82
2.76,3.03
2.98,3.08
2.92,2.92
2.82,2.9
2.93,2.92
2.98,2.79
2.83,3.02
3.06,3.06
2.72,2.94
2.96,2.79
3.13,3.1
3.02,3.12
2.74,3.05
2.99,2.88
2.76,2.9
2.92,2.83
2.99,2.99
2.73,2.82
3.03,2.88
3.12,2.93
3.09,2.73
2.9,2.86
2.95,2.92
3.12,2.86
2.72,2.9
3,2.84
3.13,2.85
2.85,2.87
2.97,3
2.85,2.76
3.09,3
3.11,2.97
3.02,3.04
3.1,2.71
2.73,2.86
3.04,2.79
2.85,2.75
3.1,3.12
2.98,3.04
2.96,3.08
2.77,2.83
3.14,2.74
3.11,3.13
3.1,3.01
2.86,3.08
2.72,3.1
2.99,3.03
2.74,2.87
2.74,3.13
2.85,2.73
2.84,2.96
3.03,3.1
2.91,2.76
3.11,2.93
2.83,3.04
2.81,3.12
2.84,2.85
3.13,2.91
2.85,2.82
2.98,2.97
3.06,2.8
3.09,2.81
2.97,2.74
2.83,3.11
2.73,2.8
2.89,2.88
2.89,3.06
3.11,3.04
2.96,3.05
2.79,2.85
2.89,2.85
2.96,2.87
3.11,3.1
2.94,3.09
2.96,2.86
2.75,2.84
3.07,3.1
3.08,2.73
2.99,3.1
2.84,2.85
2.81,2.74
3.07,3.14
2.76,2.72
2.94,2.86
3.03,3.04
2.9,3.08
3.09,3.14
2.76,2.8
2.99,2.92
3.09,3.1
3.08,2.82
3.07,2.88
3.11,2.73
2.92,2.88
2.98,2.93
2.84,2.86
2.9,2.94
2.96,2.77
2.87,3.02
2.96,2.77
2.98,2.86
2.76,3.07
2.99,2.97
2.79,2.74
2.85,2.83
2.79,2.8
2.91,2.87
2.92,3.13
3.09,2.94
2.79,3.05
2.95,3.07
3.01,2.86
2.9,3.07
2.8,2.98
2.76,3.12
2.9,3.03
3.09,2.74
2.93,3
3.09,3.03
3.04,2.84
3.1,2.86
3.11,2.92
2.73,2.76
2.88,3.13
2.93,2.82
2.91,3.1
2.72,2.98
3.02,2.79
2.85,2.99
2.71,2.92
2.74,3.07
2.84,2.99
2.74,2.73
3,3.1
2.8,2.97
2.92,2.99
2.77,3.1
2.9,2.85
3.11,3.12
2.73,3.02
2.81,2.82
2.88,3.07
3,2.84
2.71,2.83
2.93,2.79
3.11,2.77
2.81,2.86
2.9,2.97
3.03,2.71
3.1,2.92
2.95,2.98
2.8,3.03
3.1,2.88
3.06,2.89
3.1,2.99
3.08,2.89
2.72,2.85
3.08,2.83
2.9,2.99
2.95,2.89
3.05,2.97
2.93,2.75
3.06,2.91
2.82,2.98
2.94,2.74
2.72,2.9
3.12,3.12
2.98,3.05
2.91,2.87
3.07,2.87
2.79,3
2.77,2.93
3.02,2.76
3.12,3.13
2.76,2.8
3.12,2.74
3.06,3.03
2.92,3.04
3.08,3.1
2.97,2.77
2.86,2.74
2.95,2.87
2.99,2.97
3.1,3.03
3.09,3.07
2.97,2.75
3.09,3.01
3.1,2.74
3.07,3.02
2.96,3.02
3.1,2.88
2.92,2.84
2.73,2.76
2.78,3.13
2.88,2.93
3.06,2.78
2.84,3.07
2.9,3.13
2.91,3.01
2.94,2.85
2.74,2.87
3.05,3
3.11,2.97
3.01,3.01
3.08,2.96
2.83,2.97
2.94,2.98
2.77,2.85
2.83,2.91
2.99,3.09
2.82,3.09
2.88,2.77
3.06,3.04
2.87,2.71
2.75,2.89
2.82,2.75
3.1,2.88
2.77,2.77
